iter	RMSE
0	67.77390278
1	64.9828649
2	62.51408957
3	60.075426
4	57.81442743
5	55.62932544
6	53.581193
7	51.73023927
8	49.90249364
9	48.24136979
10	46.64224617
11	45.17967744
12	43.83294524
13	42.5706696
14	41.38910937
15	40.27073224
16	39.27495326
17	38.34111074
18	37.42563396
19	36.61215542
20	35.85011917
21	35.13216897
22	34.43846164
23	33.84744312
24	33.29719827
25	32.78376593
26	32.31635356
27	31.79159013
28	31.34482541
29	30.91217857
30	30.51604336
31	30.12125313
32	29.82187729
33	29.49492924
34	29.18144076
35	28.88309029
36	28.64714323
37	28.4175898
38	28.19643029
39	27.97541225
40	27.73973409
41	27.53432655
42	27.37411752
43	27.21172381
44	27.06223358
45	26.86844403
46	26.71986184
47	26.56838035
48	26.41726111
49	26.28588016
50	26.16801291
51	25.99640729
52	25.89601186
53	25.75399396
54	25.65639006
55	25.54869326
56	25.47025185
57	25.3889844
58	25.32223193
59	25.19868977
60	25.11751107
61	25.03678789
62	24.96056661
63	24.88334409
64	24.80643328
65	24.72370973
66	24.6312266
67	24.53909442
68	24.46102214
69	24.41709601
70	24.3063245
71	24.22994942
72	24.18451547
73	24.13147044
74	24.08997282
75	24.01938279
76	23.98161129
77	23.94769132
78	23.90198157
79	23.86269937
80	23.82099982
81	23.7826184
82	23.75229121
83	23.71650066
84	23.67924528
85	23.67035534
86	23.64005504
87	23.60962906
88	23.55705143
89	23.5088437
90	23.48323208
91	23.43531933
92	23.41431481
93	23.39563451
94	23.35212684
95	23.32027979
96	23.3074795
97	23.28474267
98	23.26147857
99	23.21808085
100	23.19025997
101	23.16233216
102	23.13801894
103	23.09887413
104	23.08079446
105	23.06335502
106	23.04276096
107	23.01773464
108	23.00177956
109	22.97821756
110	22.90385092
111	22.86820453
112	22.84884443
113	22.81716909
114	22.77214523
115	22.75624341
116	22.72392755
117	22.67912496
118	22.65258796
119	22.6222289
120	22.6029966
121	22.55055941
122	22.50607635
123	22.4860374
124	22.45030108
125	22.44059141
126	22.42405746
127	22.39587218
128	22.36782557
129	22.3386973
130	22.31862841
131	22.29533735
132	22.26348407
133	22.23422664
134	22.21478198
135	22.18860845
136	22.17422581
137	22.14833653
138	22.11851674
139	22.09884061
140	22.06364224
141	22.00102458
142	21.98136368
143	21.95789685
144	21.94262269
145	21.92447341
146	21.90901857
147	21.89305352
148	21.87062099
149	21.85817165
150	21.8494957
151	21.82637974
152	21.7749374
153	21.7638455
154	21.7508081
155	21.73204851
156	21.71235203
157	21.68193854
158	21.6782765
159	21.65683362
160	21.63613096
161	21.62151559
162	21.59745275
163	21.57224273
164	21.5571275
165	21.54221583
166	21.51964368
167	21.50533896
168	21.46998826
169	21.46471029
170	21.42061394
171	21.40301737
172	21.379141
173	21.36218574
174	21.34716755
175	21.32290788
176	21.29879061
177	21.28628678
178	21.26253391
179	21.25641381
180	21.24922066
181	21.23605801
182	21.22489265
183	21.21249852
184	21.18272057
185	21.16199081
186	21.12486561
187	21.11992281
188	21.08530897
189	21.07674515
190	21.06241764
191	21.03379306
192	21.01924119
193	21.00461397
194	20.96928492
195	20.95295154
196	20.9396371
197	20.9330714
198	20.90187429
199	20.88254265
200	20.86341632
201	20.85671951
202	20.84188822
203	20.82684385
204	20.79474974
205	20.77534349
206	20.77222979
207	20.76097408
208	20.74120802
209	20.72844401
210	20.71088216
211	20.68225414
212	20.6560768
213	20.64429404
214	20.64149459
215	20.59753516
216	20.58609053
217	20.57155031
218	20.55958156
219	20.54965024
220	20.53166419
221	20.52632983
222	20.52127163
223	20.51610504
224	20.50318129
225	20.4633999
226	20.44222102
227	20.42547998
228	20.39121988
229	20.37561493
230	20.37337881
231	20.34490879
232	20.34276143
233	20.31516874
234	20.31028885
235	20.29862498
236	20.28456233
237	20.28004408
238	20.2556005
239	20.24380907
240	20.22800521
241	20.21520726
242	20.21226952
243	20.175192
244	20.15853529
245	20.15661139
246	20.14531638
247	20.14083424
248	20.13315047
249	20.1290876
250	20.10931127
251	20.10040202
252	20.07636123
253	20.06653306
254	20.05233513
255	20.03942794
256	20.02668885
257	20.01413725
258	20.00605351
259	19.98868605
260	19.9729282
261	19.96565859
262	19.95495744
263	19.93832009
264	19.92102297
265	19.9067899
266	19.89514061
267	19.86946299
268	19.86401224
269	19.85263832
270	19.8258003
271	19.79974797
272	19.77464696
273	19.77306529
274	19.76326389
275	19.75301252
276	19.73868812
277	19.73274557
278	19.6976983
279	19.6914124
280	19.68445549
281	19.67494342
282	19.66516324
283	19.65174042
284	19.62463739
285	19.61867891
286	19.60883184
287	19.5972948
288	19.58790907
289	19.58065804
290	19.55628
291	19.54395049
292	19.53202779
293	19.52411079
294	19.51572033
295	19.50701461
296	19.49198474
297	19.47019936
298	19.45029327
299	19.44879508
300	19.4351938
301	19.4101888
302	19.4018311
303	19.38886823
304	19.38615818
305	19.37565867
306	19.36573263
307	19.35763418
308	19.34377669
309	19.33099092
310	19.32177371
311	19.31189328
312	19.29963448
313	19.29077686
314	19.28943385
315	19.27866857
316	19.26978061
317	19.26001741
318	19.25867273
319	19.24319077
320	19.23992806
321	19.23168433
322	19.2257558
323	19.21665165
324	19.21574714
325	19.20343167
326	19.19616872
327	19.1868474
328	19.18149827
329	19.17352788
330	19.16169064
331	19.15170532
332	19.1482606
333	19.1396927
334	19.12847748
335	19.1191673
336	19.10947704
337	19.10699074
338	19.09255172
339	19.09146043
340	19.0830921
341	19.07480939
342	19.0539871
343	19.02976687
344	19.01882863
345	19.01752252
346	19.01648535
347	19.00249316
348	18.97824595
349	18.96822719
350	18.94832792
351	18.93930868
352	18.92455244
353	18.9163884
354	18.91572072
355	18.90124269
356	18.89994288
357	18.89093533
358	18.88018903
359	18.86850147
360	18.86007003
361	18.84418226
362	18.83746687
363	18.82933994
364	18.80635845
365	18.78129952
366	18.77144223
367	18.7690718
368	18.7633218
369	18.76217302
370	18.7427898
371	18.73564477
372	18.7338161
373	18.72666885
374	18.70797371
375	18.70056713
376	18.6924325
377	18.68608815
378	18.67352783
379	18.66228205
380	18.65476804
381	18.65434206
382	18.64302367
383	18.6337412
384	18.62489009
385	18.60165938
386	18.58818552
387	18.57537765
388	18.57448387
389	18.56921576
390	18.55911386
391	18.54453341
392	18.52650149
393	18.52436645
394	18.50855413
395	18.49898655
396	18.49843602
397	18.48207644
398	18.47160605
399	18.47067326
400	18.4628762
401	18.4502228
402	18.44775255
403	18.43607052
404	18.42539753
405	18.41198873
406	18.40225751
407	18.39499519
408	18.39085328
409	18.38625088
410	18.37627713
411	18.37214786
412	18.35974873
413	18.34937892
414	18.34012127
415	18.33976833
416	18.33349595
417	18.32695704
418	18.32139824
419	18.31424933
420	18.29924279
421	18.29276574
422	18.28566631
423	18.27404747
424	18.26655215
425	18.26573683
426	18.249045
427	18.24004472
